fid,DN,ZS_trackcount,ZS_tracksum,ZS_trackmean
"380","2",2,1,0.5
"381","2",2,10.0990195274353,5.04950976371765
"382","2",10,225.224285125732,22.5224285125732
"384","2",6,427.462699890137,71.2437833150228
"385","2",0.93789000009675,70.3430961404594,75.0014352783408
"388","2",2,3.41421353816986,1.70710676908493
"389","2",0.937890000094806,25.869601631919,27.5827673067246
"391","2",2,368.873901367188,184.436950683594
"392","2",0.937890000079255,9.01542303964324,9.61245246124961
"393","2",0.937890000081199,56.6880928986272,60.4421551500916
"394","2",0.937890000079255,68.1430428560869,72.6556876076391
"395","2",2,166.50838470459,83.2541923522949
"397","2",8,45.8107209205627,5.72634011507034
"399","2",10,34.2905170917511,3.42905170917511
"400","2",2,16.1597766876221,8.07988834381104
"401","2",3,80.0855560302734,26.6951853434245
"402","2",11,717.007884979248,65.1825349981135
"403","2",19,1506.61985015869,79.2957815872995
"405","2",0.937890000094806,10.2187496017195,10.8954670597688
"406","2",0.937890000094806,12.9022919255883,13.7567219229165
"407","2",0.93789000009675,19.8959015069308,21.2134701349609
"408","2",0.93789000009675,64.1974309505209,68.4487849789405
"410","2",0.937890000081199,5.37534209056477,5.73131400281418
"411","2",2,1,0.5
"412","2",0.937890000081199,9.1897215416909,9.79829355350338
"413","2",0.937890000081199,13.5764461984341,14.4755207937591
"414","2",0.937890000081199,17.0283871531437,18.1560600408037
"415","2",4,88.6705055236816,22.1676263809204
"416","2",4,293.210144042969,73.3025360107422
"417","2",0.937890000081199,71.1249445861592,75.8350601669721
"419","2",0.937890000081199,79.1646667984147,84.407197850026
"420","2",0.937890000081199,172.18187833198,183.584299136437
"421","2",2,22.4750289916992,11.2375144958496
"422","2",0.937890000094806,32.8965415875804,35.0750531344348
"423","2",0.937890000094806,71.8524574706707,76.6107512217931
"425","2",17,178.806923866272,10.5180543450748
"426","2",2,15.5263209342957,7.76316046714783
"427","2",3,12.0776872634888,4.02589575449626
"429","2",0.93789000009675,13.9420145955367,14.8652982696249
"430","2",3,54.3868141174316,18.1289380391439
"432","2",0.93789000009675,66.3329894966976,70.7257668701606
"433","2",0.937890000094806,79.583356347807,84.8536143255205
"435","2",2,202.202766418457,101.101383209229
"439","2",0.937890000081199,12.8889886043508,13.7425376144696
"440","2",0.937890000081199,68.8194420272114,73.3768800405732
"441","2",165,15794.0678863525,95.7216235536518
"442","2",3,543.870010375977,181.290003458659
"443","2",0.937890000081199,172.475901623643,183.897793567167
"444","2",0.93789000009675,0.94158069439226,1.00393510357838
"445","2",0.937890000094806,4.6965441845376,5.0075639830501
"446","2",0.93789000009675,10.9779011058301,11.7048919432958
"447","2",0.937890000094806,66.8386175755557,71.264879216965
"448","2",9,789.978981018066,87.7754423353407
"451","2",2,3,1.5
"452","2",0.93789000009675,3.68275537206307,3.92663891467355
"453","2",7,61.5935363769531,8.79907662527902
"454","2",0.93789000009675,16.163633623519,17.2340398360699
"455","2",2,202.23014831543,101.115074157715
"457","2",5,65.614767074585,13.122953414917
"458","2",0.93789000009675,15.0439049175376,16.0401592041558
