fid,DN,ZS_count,ZS_sum,ZS_mean,ZS_track_count,ZS_track_sum,ZS_track_mean
"1243","2",3,344.37190246582,114.790634155273,3,21851.412109375,7283.80403645833
"1247","2",1.01923475768349,295.328160721639,289.754797405907,1.01923475768349,7202.90926051285,7066.9776577121
"1250","2",2,474.009872436523,237.004936218262,2,14262.0795898438,7131.03979492188
"1252","2",1.01923475768349,150.089267690342,147.256818469833,1.01923475768349,7371.5154392588,7232.40194046435
"1253","2",5,587.722434997559,117.544486999512,5,36404.7055664062,7280.94111328125
"1258","2",2,631.668426513672,315.834213256836,2,14013.1518554688,7006.57592773438
"1262","2",3,719.119567871094,239.706522623698,4,28510.09765625,7127.5244140625
"1269","2",1.01923475768349,264.046654476923,259.063628360797,1.01923475768349,7245.19840059577,7108.46872712876
"1282","2",1.01923475768349,173.114542624215,169.847565851922,1.01923475768349,7330.64321643852,7192.30104858231
"1291","2",1.01923475768349,61.0457418092777,59.8937009840813,1.01923475768349,0,0
"1303","2",1.01923475768349,173.327722735732,170.056722878712,1.01923475768349,7327.00470239202,7188.73119971376
"1304","2",1.01923475768349,170.847949417955,167.623747257458,1.01923475768349,7329.91825804649,7191.58977143388
"1308","2",1.01923475768349,57.3661976860248,56.283596348702,1.01923475768349,0,0
"1309","2",1.01923475768349,316.85971583091,310.880014091224,1.01923475768349,7136.51517543563,7001.83654613137
"1318","2",1.01923475768349,170.63902436702,167.418764990753,1.01923475768349,7328.46333204753,7190.16230245483
"1366","2",55,3593.71086120605,65.3401974764737,55,0,0
"1367","2",1.01923475768349,50.8200026726874,49.8609395819572,1.01923475768349,0,0
"1394","2",1.01923475768349,107.779964623341,105.745966580165,1.01923475768349,7415.76594227507,7275.8173584362
"1395","2",1.01923475768349,60.5557256149546,59.412932259674,1.01923475768349,0,0
"1404","2",1.01923475768349,47.1813418281527,46.2909466857136,1.01923475768349,0,0
"1412","2",1.01923475768349,169.519412222509,166.320281902269,1.01923475768349,7318.27103197038,7180.16234905811
"1414","2",1.01923475768349,108.010820410927,105.972465711837,1.01923475768349,7412.85609522242,7272.96242533005
"1484","2",1.01923475768349,129.242671574659,126.80363439371,1.01923475768349,7365.84696188153,7226.84043725369
"1485","2",1.01923475768349,128.032516988985,125.616317559633,1.01923475768349,7368.78306697906,7229.7211328691
"1528","2",1.01923475768349,195.691832312202,191.998782259907,1.01923475768349,7281.16505158679,7143.75662397479
"1533","2",1.01923475768349,140.061139372685,137.417938621927,1.01923475768349,7340.22069632297,7201.69778452783
"1548","2",65,3610.33865737915,55.5436716519869,65,0,0
"1550","2",8,1571.11660766602,196.389575958252,8,57116.7172851562,7139.58966064453
"1572","2",1.01923475768349,99.5360395873836,97.6576189509159,1.01923475768349,7407.16420605686,7267.37795215284
"1575","2",1.01923475768349,46.4409761701866,45.5645530336281,1.01923475768349,0,0
"1588","2",3,401.514785766602,133.838261922201,3,21602.5659179688,7200.85530598958
"1592","2",7,334.4875831604,47.7839404514858,7,0,0
"1604","2",1.01923475768349,49.3518185442487,48.4204626777202,1.01923475768349,0,0
"1605","2",1.01923475768349,47.9047968588467,47.0007488438917,1.01923475768349,0,0
"1624","2",3,140.017860412598,46.6726201375326,3,0,0
"1626","2",1.01923475768349,46.4501303282394,45.5735344365716,1.01923475768349,0,0
"1627","2",1.01923475768349,43.5308889462044,42.709384288602,1.01923475768349,0,0
"1635","2",2,450.751922607422,225.375961303711,3,21325.9760742188,7108.65869140625
"1636","2",1.01923475768349,219.949369149172,215.798536589422,1.01923475768349,7252.85453065567,7115.98037250995
"1637","2",2,428.664535522461,214.33226776123,1.01923475768349,7254.30298196332,7117.40148898653
"1646","2",1.01923475768349,32.5866005675337,31.9716339360288,1.01923475768349,0,0
"1667","2",1.01923475768349,16.0505608186004,15.7476584247185,1.01923475768349,0,0
